,Movie,Rating
120, Snatch,8.2
121, 1917,8.2
122, L,8.2
123, Bicycle Thieves,8.3
124, Hamilton,8.3
125, Taxi Driver,8.2
126, Downfall,8.2
127, Dangal,8.3
128, Batman Begins,8.2
129, For a Few Dollars More,8.2
130, The Wolf of Wall Street,8.2
131, Green Book,8.2
132, Some Like It Hot,8.2
133, The Kid,8.2
134, The Father,8.2
135, Judgment at Nuremberg,8.3
136, The Truman Show,8.2
137, All About Eve,8.2
138, Shutter Island,8.2
139, There Will Be Blood,8.2
140, Top Gun: Maverick,8.2
141, Casino,8.2
142, Jurassic Park,8.2
143, Ran,8.2
144, The Sixth Sense,8.2
145, Pan's Labyrinth,8.2
146, Unforgiven,8.2
147, No Country for Old Men,8.2
148, The Thing,8.2
149, A Beautiful Mind,8.2
150, Kill Bill: Vol,8.2
151, The Treasure of the Sierra Madre,8.2
152, Yojimbo,8.2
153, The Great Escape,8.2
154, Monty Python and the Holy Grail,8.2
155, Finding Nemo,8.2
156, Prisoners,8.2
157, Howl's Moving Castle,8.2
158, Rashomon,8.2
159, The Elephant Man,8.2
160, Dial M for Murder,8.2
161, Chinatown,8.1
162, Gone with the Wind,8.2
163," Lock, Stock and Two Smoking Barrels",8.1
164, V for Vendetta,8.1
165, The Secret in Their Eyes,8.2
166, Inside Out,8.1
167, Raging Bull,8.1
168," Three Billboards Outside Ebbing, Missouri",8.1
169, Trainspotting,8.1
170, The Bridge on the River Kwai,8.1
171, Klaus,8.2
172, Catch Me If You Can,8.1
173, Fargo,8.1
174, Warrior,8.1
175, Spider-Man: No Way Home,8.2
176, Gran Torino,8.1
177, Harry Potter and the Deathly Hallows: Part 2,8.1
178, Million Dollar Baby,8.1
179, My Neighbor Totoro,8.1
180, Children of Heaven,8.2
181, Mad Max: Fury Road,8.1
182, 12 Years a Slave,8.1
183, Ben-Hur,8.1
184, Before Sunrise,8.1
185, Barry Lyndon,8.1
186, Blade Runner,8.1
187, The Grand Budapest Hotel,8.1
188, Hacksaw Ridge,8.1
189, Gone Girl,8.1
190, Dead Poets Society,8.1
191, Memories of Murder,8.1
192, In the Name of the Father,8.1
193, The Gold Rush,8.1
194," Monsters, Inc",8.1
195, Wild Tales,8.1
196, The Deer Hunter,8.1
197, The General,8.1
198, On the Waterfront,8.1
199, Jaws,8.1
200, Sherlock Jr,8.2
201, How to Train Your Dragon,8.1
202, Ratatouille,8.1
203, Mary and Max,8.1
204, The Third Man,8.1
205, The Wages of Fear,8.1
206, Wild Strawberries,8.1
207, Ford v Ferrari,8.1
208, Mr,8.1
209, Maharaja,8.6
210, Tokyo Story,8.1
211, Rocky,8.1
212, Logan,8.1
213, The Big Lebowski,8.1
214, The Seventh Seal,8.1
215, Room,8.1
216, Spotlight,8.1
217, The Terminator,8.1
218, Hotel Rwanda,8.1
219, Platoon,8.1
220, La haine,8.1
221, Before Sunset,8.1
222, Pirates of the Caribbean: The Curse of the Black Pearl,8.1
223, The Passion of Joan of Arc,8.1
224, Jai Bhim,8.7
225, The Best Years of Our Lives,8.1
226, The Exorcist,8.1
227, Rush,8.1
228, Network,8.1
229, The Wizard of Oz,8.1
230, The Incredibles,8.0
231, Stand by Me,8.1
232, Hachi: A Dog's Tale,8.1
233, The Sound of Music,8.1
234, The Handmaiden,8.1
235, My Father and My Son,8.2
236, To Be or Not to Be,8.1
237, Into the Wild,8.1
238, The Battle of Algiers,8.1
239, Groundhog Day,8.0
240, The Grapes of Wrath,8.1
241, The Iron Giant,8.1
242, Amores Perros,8.1
243, Rebecca,8.1
244, Cool Hand Luke,8.1
245, The Help,8.1
246, It Happened One Night,8.1
247, Aladdin,8.0
248," Paris, Texas",8.1
249, Dances with Wolves,8.0
